ID_Vendita,Nome_Produttore,Cognome_Produttore,Tipo_Prodotto,Nome_Prodotto,Quantita,unita_misura,Prezzo_Totale,Data_Ora,Nome_cliente,Cognome_cliente,Genere,Data_Nascita
52,Tara,Morey,"Derivato Animale",Mozzarella,4.59,Kg,94.23,"2024-05-19 09:32:39",Marian,Niemetz,NULL,1981-07-21
198,Tara,Morey,"Derivato Animale",Mozzarella,0.37,Kg,7.60,"2023-12-08 16:52:27",Lynn,Ryton,"Preferisco non specificare",1960-04-16
452,Tara,Morey,"Derivato Animale",Mozzarella,4.59,Kg,94.23,"2024-05-19 11:32:39",Marian,Niemetz,NULL,1981-07-21
598,Tara,Morey,"Derivato Animale",Mozzarella,0.37,Kg,7.60,"2023-12-08 17:52:27",Lynn,Ryton,"Preferisco non specificare",1960-04-16
752,Tara,Morey,"Derivato Animale",Mozzarella,4.59,Kg,94.23,"2024-05-19 11:32:39",Marian,Niemetz,NULL,1981-07-21
898,Tara,Morey,"Derivato Animale",Mozzarella,0.37,Kg,7.60,"2023-12-08 18:52:27",Lynn,Ryton,"Preferisco non specificare",1960-04-16
1039,Tara,Morey,"Derivato Animale",Mozzarella,6.85,Kg,42.67,"2025-11-17 12:29:05",Wendy,Givens,"Preferisco non specificare",NULL
110,Tara,Morey,"Derivato Animale","Formaggio al pepe",2.55,Kg,63.75,"2024-11-08 15:16:56",Damiano,Sharratt,NULL,NULL
510,Tara,Morey,"Derivato Animale","Formaggio al pepe",2.55,Kg,63.75,"2024-11-08 14:16:56",Damiano,Sharratt,NULL,NULL
810,Tara,Morey,"Derivato Animale","Formaggio al pepe",2.55,Kg,63.75,"2024-11-08 11:16:56",Damiano,Sharratt,NULL,NULL
128,Tara,Morey,"Derivato Animale","Carne lavorata",3.13,Kg,21.13,"2023-12-31 10:00:31",Tamar,Colthard,"Preferisco non specificare",NULL
336,Tara,Morey,"Derivato Animale","Carne lavorata",3.80,Kg,25.65,"2023-07-18 16:45:20",Chalmers,Tooze,M,1997-09-27
